CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
T15854,179,56,105537.15399287462,5,5,5,555,Almas Gêmeas
T15860,1776,16,4390.012579885979,2,4,3,243,Prestes a te largar
T15865,275,60,164690.19433376077,4,5,5,455,Amantes
T15868,188,63,249767.56547570525,5,5,5,555,Almas Gêmeas
T15878,157,43,28187.80951980974,5,5,4,554,Amantes
T15893,704,35,105910.35143071158,3,5,5,355,Prestes a te largar
T15900,239,51,185998.88312228204,5,5,5,555,Almas Gêmeas
T15927,275,71,120262.08506877713,4,5,5,455,Amantes
T15954,509,14,4422.037565314792,4,4,3,443,Amantes
T15970,4149,26,12461.91478146133,1,5,4,154,Clientes Regulares
T15971,198,44,45760.92542805314,5,5,5,555,Almas Gêmeas
T15978,2041,29,81794.7807084895,1,5,5,155,Ex-Amantes
T15998,3838,21,49186.02242242319,1,4,5,145,Clientes Regulares
T16015,339,13,2300.426421158316,4,4,3,443,Amantes
T16016,739,6,1508.5836434795815,3,2,2,322,Prestes a te largar
T16055,4679,19,1295.5195405013044,1,4,2,142,Clientes Regulares
T16062,3622,13,5057.728061062156,1,4,3,143,Clientes Regulares
T16072,326,35,44919.40566785774,4,5,5,455,Amantes
T16103,611,11,31247.49462018806,3,3,4,334,Amigos Platônicos
T16127,4548,25,18188.5059767611,1,4,4,144,Clientes Regulares
T16132,5296,9,548.7210945198301,1,3,2,132,Clientes Regulares
T16167,641,12,12704.695952173433,3,3,4,334,Amigos Platônicos
T16194,194,36,2404.8922767511203,5,5,3,553,Amantes
T16208,136,42,83765.20853012332,5,5,5,555,Almas Gêmeas
T16210,1226,17,13298.465582247902,2,4,4,244,Prestes a te largar
T16221,368,68,134205.39294426233,4,5,5,455,Amantes
T16230,1146,12,17799.186745918058,2,3,4,234,Prestes a te largar
T16235,184,67,243191.5260452141,5,5,5,555,Almas Gêmeas
T16236,192,29,8197.135112565684,5,5,3,553,Amantes
T16237,463,18,17054.898002785227,4,4,4,444,Amantes
T16250,423,72,99920.0186318634,4,5,5,455,Amantes
T16259,4216,11,1.0005180535649028,1,3,1,131,Clientes Regulares
T16261,3622,15,2218.7706956438415,1,4,3,143,Clientes Regulares
T16268,3439,20,6175.8784514961835,1,4,3,143,Clientes Regulares
T16279,281,34,80541.45948824742,4,5,5,455,Amantes
T16284,501,55,48468.31887328509,4,5,5,455,Amantes
T16313,198,22,31162.686001647697,5,4,4,544,Amantes
T16316,1965,34,35195.349685973575,1,5,4,154,Clientes Regulares
T16326,186,23,3348.691886708055,5,4,3,543,Amantes
T16333,303,106,228915.78133293122,4,5,5,455,Amantes
T16397,5373,7,736.8479155916071,1,3,2,132,Clientes Regulares
T16411,155,167,354380.8797734058,5,5,5,555,Almas Gêmeas
T16428,4617,15,2349.872191519786,1,4,3,143,Clientes Regulares
T16438,1284,23,44443.15066664612,2,4,5,245,Prestes a te largar
T16447,190,36,2421.6278329328097,5,5,3,553,Amantes
T16451,654,25,41850.5561584174,3,4,5,345,Prestes a te largar
T16472,627,54,118409.63850417381,3,5,5,355,Prestes a te largar
T16514,702,28,66083.6835480761,3,5,5,355,Prestes a te largar
T16523,186,23,4077.914005034247,5,4,3,543,Amantes
