CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
TFDOS2,2023-08-23,0,92467.16805857318,698,3,3,5,335,Potencial para Retenção
TFDOSE,2024-11-07,4,188.55561452330488,256,4,4,1,441,Clientes Leais
TFDOSH,2023-09-06,0,4511.7773085477775,684,3,3,3,333,Potencial para Retenção
TFDOSO,2024-12-23,96,101089.74194448705,210,5,5,5,555,Campeões
TFDOSP,2024-03-25,10,21072.675828171392,483,4,4,4,444,Campeões
TFDOSV,2025-03-03,160,31501.1091313373,140,5,5,4,554,Campeões
TFDOT9,2025-03-13,128,10651.019143082536,130,5,5,3,553,Clientes Leais
TFDOTE,2023-08-02,0,0.00420385736791976,719,3,3,1,331,Potencial para Retenção
TFDOU6,2023-08-04,0,10145.971922758026,717,3,3,3,333,Potencial para Retenção
TFDOU7,2023-08-04,0,7517.539530467782,717,3,3,3,333,Potencial para Retenção
TFDOUH,2025-02-21,21,38991.9583713762,150,5,4,4,544,Campeões
TFDOUY,2023-08-07,0,1533.310732517685,714,3,3,2,332,Potencial para Retenção
TFDOVB,2024-08-12,6,823.695404955462,343,4,4,2,442,Clientes Leais
TFDOVP,2024-09-26,5,10040.131405805912,298,4,4,3,443,Clientes Leais
TFDOW2,2023-08-11,0,679.7385132484181,710,3,3,2,332,Potencial para Retenção
TFDOW4,2023-10-26,0,600.1216585573854,634,3,3,2,332,Potencial para Retenção
TFDOWR,2024-03-28,16,58386.61408485387,480,4,4,5,445,Campeões
TFDOWU,2023-08-16,0,27.657177623544065,705,3,3,1,331,Potencial para Retenção
TFDOWW,2024-06-27,75,520.3492611437399,389,4,5,2,452,Clientes Leais
TFDOXA,2025-02-21,54,47150.12792999856,150,5,5,4,554,Campeões
TFDOXG,2023-08-14,0,516.5405663684052,707,3,3,2,332,Potencial para Retenção
TFDOY2,2025-03-21,12,1125.5155485426283,122,5,4,2,542,Clientes Leais
TFDOY7,2023-11-22,0,372.1590850672002,607,3,3,2,332,Potencial para Retenção
TFDOYB,2020-02-28,0,165402.6346534744,1970,1,3,5,135,Potencial para Retenção
TFDOYM,2023-08-17,0,1955.6680784152163,704,3,3,2,332,Potencial para Retenção
TFDOYN,2024-12-05,84,505.02199718030437,228,5,5,2,552,Clientes Leais
TFDOZ6,2024-08-02,12,16186.389478287729,353,4,4,4,444,Campeões
TFDP06,2024-01-15,0,38.2172673317585,553,3,3,1,331,Potencial para Retenção
TFDP11,2024-10-01,87,95403.34382948194,293,4,5,5,455,Campeões
TFDP20,2023-08-22,0,0.00420385736791976,699,3,3,1,331,Potencial para Retenção
TFDP31,2024-01-04,0,6209.807784312665,564,3,3,3,333,Potencial para Retenção
TFDP99,2024-07-31,17,2531.071055649232,355,4,4,3,443,Clientes Leais
TFDPA5,2023-09-05,0,7441.130218948469,685,3,3,3,333,Potencial para Retenção
TFDPAA,2023-08-25,0,915.4950382987262,696,3,3,2,332,Potencial para Retenção
TFDPAC,2023-08-25,0,6396.538924738296,696,3,3,3,333,Potencial para Retenção
TFDPAW,2023-08-28,0,65.382593643256,693,3,3,1,331,Potencial para Retenção
TFDPBR,2024-08-19,15,281.55334721642606,336,4,4,2,442,Clientes Leais
